StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,pair7_rel_c,pair7_conf_c,pair8_rel_c,pair8_conf_c,pair1_rel_t,pair1_conf_t,pair2_rel_t,pair2_conf_t,pair3_rel_t,pair3_conf_t,pair4_rel_t,pair4_conf_t,pair5_rel_t,pair5_conf_t,pair6_rel_t,pair6_conf_t,pair7_rel_t,pair7_conf_t,pair8_rel_t,pair8_conf_t,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Your task is to determine the accuracy of the news article.,Your task is to determine if the fact-check is relevant to the news article.,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,What is the highest level of school you have completed or the highest degree you have received?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",What best describes your gender identity? - Selected Choice,What best describes your gender identity? - Prefer to self-describe - Text,Did you understand the instructions in this survey?,This was a pilot survey and we would love to hear some feedback so we can improve in the future. Please put any additional comments in the box below.,Random ID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106""}","{""ImportId"":""QID128""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID124_4_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_5_TEXT""}","{""ImportId"":""QID130""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2019-11-20 17:13:26,2019-11-20 17:15:03,1,100,97,1,2019-11-20 17:15:03,R_tVTt4YNkfZvphfP,preview,EN,24,23,,,,,,,,,,,,,,,,,1,3,1,2,1,3,2,2,2,4,1,1,2,1,1,3,6,2,,2,,16,,65888,
2019-11-20 17:16:51,2019-11-20 17:18:36,1,100,104,1,2019-11-20 17:18:36,R_1Nq1KOcpkCdooXj,preview,EN,23,24,2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,6,3,,1,,16,,34071,
2019-11-20 17:23:58,2019-11-20 17:24:05,0,100,6,1,2019-11-20 17:24:05,R_D9acqmn59tTxDhv,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:24:12,2019-11-20 17:26:13,0,100,121,1,2019-11-20 17:26:14,R_3NCnfkMDVgUfI4t,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,4,1,3,1,2,1,2,1,3,1,3,2,1,2,2,2,2,,2,,16,,13239,
2019-11-20 17:25:39,2019-11-20 17:28:37,0,100,178,1,2019-11-20 17:28:38,R_vukKw7cqFLqLi6t,anonymous,EN,24,23,1,2,1,3,1,3,1,1,2,2,1,3,2,1,2,1,,,,,,,,,,,,,,,,,3,2,,1,,16,,14155,
2019-11-20 17:29:54,2019-11-20 17:30:16,0,100,21,1,2019-11-20 17:30:17,R_2UgDynZTGI4jQFj,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:27:13,2019-11-20 17:30:45,0,100,211,1,2019-11-20 17:30:45,R_3izfgsUcyJbH16n,anonymous,EN,24,23,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,,,,,,5,3,,2,,16,I thought the survey was very straightforward and mildly entertaining.,20117,
2019-11-20 17:28:32,2019-11-20 17:31:46,0,100,193,1,2019-11-20 17:31:46,R_1ddhKlW1OYt81kt,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,3,1,1,2,1,2,1,5,2,,2,,16,,30463,
2019-11-20 17:31:42,2019-11-20 17:34:06,0,100,143,1,2019-11-20 17:34:06,R_3dRFfEhfJIBXMhN,anonymous,EN,24,23,1,2,1,1,1,3,2,1,1,2,1,4,2,2,2,3,,,,,,,,,,,,,,,,,3,2,,1,,16,,30058,
2019-11-20 17:31:05,2019-11-20 17:34:46,0,100,221,1,2019-11-20 17:34:47,R_p4T2tEYslHx8vSx,anonymous,EN,24,23,,,,,,,,,,,,,,,,,2,3,1,1,1,4,1,3,2,1,1,2,2,1,2,2,5,2,,1,,16,none,64262,
2019-11-20 17:34:53,2019-11-20 17:38:39,0,100,225,1,2019-11-20 17:38:39,R_1IMWOu94t6fku2Z,anonymous,EN,24,23,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,5,2,,2,,16,"The survey was fine; however, pay was a bit low.",23905,
2019-11-20 17:40:45,2019-11-20 17:44:17,0,100,212,1,2019-11-20 17:44:18,R_3spNu7TrjtqJfOQ,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,2,,2,,16,"Straight forward, thank you.",34413,
2019-11-20 17:41:21,2019-11-20 17:44:18,0,100,177,1,2019-11-20 17:44:18,R_10pA0li5ITd2ZYl,anonymous,EN,24,23,1,1,1,2,1,3,1,4,2,4,1,2,2,2,2,4,,,,,,,,,,,,,,,,,3,5,,2,,16,,9965,
2019-11-20 17:43:27,2019-11-20 17:47:26,0,100,238,1,2019-11-20 17:47:26,R_1Lo4UFSo01XUXLl,anonymous,EN,24,23,1,2,1,1,1,1,2,2,2,3,1,3,2,1,2,1,,,,,,,,,,,,,,,,,2,3,,2,,16,,2221,
2019-11-20 17:44:42,2019-11-20 17:48:54,0,100,252,1,2019-11-20 17:48:54,R_piUcIhanpv8pRRv,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,3,1,2,1,2,1,2,1,1,1,3,2,2,2,3,5,2,,2,,16,thanks,53392,
2019-11-20 17:48:06,2019-11-20 17:50:51,0,100,165,1,2019-11-20 17:50:52,R_2CJmxa9vmvxIhi5,anonymous,EN,24,23,1,3,1,3,1,4,1,2,2,3,2,4,2,1,2,3,,,,,,,,,,,,,,,,,3,3,,2,,16,,5307,
2019-11-20 17:51:29,2019-11-20 17:53:18,0,100,108,1,2019-11-20 17:53:18,R_2EGmBzPsLsUAEaQ,anonymous,EN,24,23,1,1,1,1,1,2,2,1,1,2,1,1,1,4,2,1,,,,,,,,,,,,,,,,,2,2,,2,,16,ty,9107,
2019-11-20 17:53:54,2019-11-20 17:54:47,0,100,53,1,2019-11-20 17:54:48,R_QnP0DesoYFLC7M5,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:57:10,2019-11-20 18:00:11,0,100,181,1,2019-11-20 18:00:12,R_vBl6HuxcnwdnzsR,anonymous,EN,24,23,1,1,2,4,1,2,2,2,1,4,1,4,2,1,2,2,,,,,,,,,,,,,,,,,5,4,socialist,1,,16,none,66496,
2019-11-20 17:57:58,2019-11-20 18:00:46,0,100,167,1,2019-11-20 18:00:46,R_2AHyhUJI2xArzO5,anonymous,EN,24,23,1,2,1,1,1,3,2,3,1,4,1,1,2,1,2,1,,,,,,,,,,,,,,,,,5,1,,2,,16,,7343,
2019-11-20 17:56:28,2019-11-20 18:01:24,0,100,296,1,2019-11-20 18:01:25,R_1dE5Iow76HDasqX,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,3,1,2,1,3,1,1,2,1,1,4,2,1,2,1,4,2,,1,,16,,16617,
2019-11-20 18:01:42,2019-11-20 18:01:53,0,100,11,1,2019-11-20 18:01:53,R_eRs1uN2PGCUGlYl,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:59:30,2019-11-20 18:02:34,0,100,183,1,2019-11-20 18:02:34,R_3iCP6ssGJAR2BWv,anonymous,EN,24,23,1,1,1,2,2,5,1,1,1,3,2,3,2,1,2,1,,,,,,,,,,,,,,,,,3,1,,2,,16,,52293,
2019-11-20 18:03:46,2019-11-20 18:03:50,0,100,3,1,2019-11-20 18:03:50,R_3suywQiHFHHxJhL,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 18:06:29,2019-11-20 18:08:48,0,100,138,1,2019-11-20 18:08:48,R_1GICIriX7gQEwuT,anonymous,EN,24,23,2,4,1,2,2,2,1,3,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,5,3,,2,,16,,87098,
2019-11-20 18:04:57,2019-11-20 18:09:11,0,100,254,1,2019-11-20 18:09:12,R_2axEVpxtG6lo0Ny,anonymous,EN,24,23,1,3,1,2,1,2,1,2,2,1,1,3,2,1,2,1,,,,,,,,,,,,,,,,,6,2,,2,,16,Everything was clear and easy to understand.,66363,
2019-11-20 18:09:50,2019-11-20 18:09:57,0,100,6,1,2019-11-20 18:09:57,R_2bZfpsbEw9Yv5nu,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 18:06:47,2019-11-20 18:12:15,0,100,327,1,2019-11-20 18:12:15,R_3nORo6WbXvpsw7G,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,4,3,,2,,16,"straightforward instructions , was easy to understand",10803,
2019-11-20 18:05:46,2019-11-20 18:13:35,0,100,469,1,2019-11-20 18:13:35,R_0f8Ug29etTeqMlr,anonymous,EN,24,23,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,3,,,,,,,,,,,,,,,,,2,2,,2,,16,"I think this was pretty easy to understand, and kinda enjoyable as it's different from the normal. Good job! 

Thanks!",66421,
2019-11-20 18:10:33,2019-11-20 18:13:47,0,100,193,1,2019-11-20 18:13:47,R_3FQaIWRC2DqLihS,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,,1,,16,,58214,
2019-11-20 18:13:35,2019-11-20 18:16:16,0,100,160,1,2019-11-20 18:16:16,R_zSyX86zAweZ8z8l,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 18:04:29,2019-11-20 18:17:42,0,100,793,1,2019-11-20 18:17:43,R_3RfoJomNLv1HoGj,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,5,1,,2,,16,,65645,
2019-11-20 18:12:06,2019-11-20 18:19:00,0,100,413,1,2019-11-20 18:19:00,R_2SISwk8xs9kimU1,anonymous,EN,24,23,1,3,1,2,1,1,1,4,2,2,2,4,2,1,2,1,,,,,,,,,,,,,,,,,3,3,,2,,16,"I wanted some more info to determine relevancy on some questions. For example, is Big Sur part of wine country? I didn't think it was so I said the fact check was not relevant.",40384,
2019-11-20 18:16:55,2019-11-20 18:20:21,8,100,206,1,2019-11-20 18:20:21,R_pyLKSkJiwY6LfQB,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 18:17:23,2019-11-20 18:20:41,0,100,198,1,2019-11-20 18:20:42,R_7VXAc3Nem03wXw5,anonymous,EN,24,23,,,,,,,,,,,,,,,,,2,4,1,2,1,1,1,1,1,4,1,4,2,1,2,2,3,3,,1,,16,,46565,
2019-11-20 18:24:27,2019-11-20 18:26:49,0,100,142,1,2019-11-20 18:26:49,R_DHxmldarC2X28Rb,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,4,1,3,1,3,1,3,1,3,1,4,2,2,2,3,5,2,,2,,16,The task was interesting and informative.,15275,
2019-11-20 18:24:50,2019-11-20 18:27:35,0,100,164,1,2019-11-20 18:27:35,R_2UhpFP2EzT5I30J,anonymous,EN,24,23,1,2,1,1,2,2,2,3,1,2,1,1,2,1,2,1,,,,,,,,,,,,,,,,,5,3,,2,,16,,51553,
2019-11-20 18:24:50,2019-11-20 18:27:42,0,100,171,1,2019-11-20 18:27:42,R_4MfzEuu6YtwGlVL,anonymous,EN,24,23,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,6,1,,2,,16,Great survey!,32933,
2019-11-20 18:16:57,2019-11-20 18:28:39,0,100,702,1,2019-11-20 18:28:39,R_p3MftxyUoL9fCaB,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,2,2,3,2,2,2,1,2,1,4,1,,1,,16,no comments. thanks,28586,
2019-11-20 18:25:25,2019-11-20 18:33:20,0,100,474,1,2019-11-20 18:33:20,R_2tsVsmPyqcad7N1,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,3,1,2,1,3,2,2,2,2,5,3,,2,,16,none,73186,
2019-11-20 18:31:29,2019-11-20 18:34:38,0,100,189,1,2019-11-20 18:34:39,R_1DSS0qd0HVw9mmu,anonymous,EN,24,23,1,4,1,2,1,3,2,3,2,2,2,4,2,2,2,3,,,,,,,,,,,,,,,,,3,1,,1,,16,No comments,65421,
2019-11-20 18:31:20,2019-11-20 18:35:38,0,100,257,1,2019-11-20 18:35:38,R_2uxlbz6N4MQBh0l,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,5,2,,4,,16,"No issues, it was fine.",10698,
2019-11-20 18:32:04,2019-11-20 18:36:08,0,100,244,1,2019-11-20 18:36:08,R_UVFqYoSa8WGUlqx,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,1,3,1,1,2,1,2,2,5,3,,2,,16,none,32226,
2019-11-20 18:37:55,2019-11-20 18:40:56,0,100,181,1,2019-11-20 18:40:56,R_2EDX7Q29PB9kCPZ,anonymous,EN,24,23,1,1,1,2,1,1,2,3,1,4,1,2,2,1,2,1,,,,,,,,,,,,,,,,,5,2,,2,,16,,20227,
2019-11-20 18:38:37,2019-11-20 18:45:36,0,100,418,1,2019-11-20 18:45:37,R_2sXqpmWXmrYyL6K,anonymous,EN,24,23,1,3,1,2,1,2,1,2,1,2,1,2,2,1,2,2,,,,,,,,,,,,,,,,,5,3,,1,,16,,12932,
2019-11-20 18:57:55,2019-11-20 19:01:49,0,100,233,1,2019-11-20 19:01:49,R_eX0CCS8IiHvZnR7,anonymous,EN,24,23,2,1,1,3,1,1,2,1,2,3,1,2,2,1,2,2,,,,,,,,,,,,,,,,,3,2,,1,,16,,90700,
2019-11-20 19:02:14,2019-11-20 19:02:22,0,100,7,1,2019-11-20 19:02:22,R_3IW76xHYzb0xEcW,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 18:29:46,2019-11-20 19:05:17,0,100,2130,1,2019-11-20 19:05:17,R_1Ed1YBf6kDSgzMv,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,2,1,2,2,4,2,5,1,2,2,1,1,1,1,2,5,3,,2,,16,,64194,
2019-11-20 18:21:19,2019-11-20 19:12:15,0,100,3055,1,2019-11-20 19:12:15,R_3nkhMb8vHmE37Ff,anonymous,EN,24,23,2,5,2,5,2,5,1,4,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,6,1,,1,,16,,42547,
2019-11-20 19:12:41,2019-11-20 19:12:45,0,100,4,1,2019-11-20 19:12:46,R_1onW87l5UglAaQ5,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 19:12:32,2019-11-20 19:16:43,0,100,250,1,2019-11-20 19:16:43,R_1gpRpniJv6Z5rQU,anonymous,EN,24,23,1,1,1,1,1,1,2,2,1,3,1,1,2,1,2,2,,,,,,,,,,,,,,,,,2,3,,2,,16,,15712,
2019-11-20 19:02:27,2019-11-20 19:22:58,0,100,1231,1,2019-11-20 19:22:59,R_5AAfI9QHEV3mvx7,anonymous,EN,24,24,,,,,,,,,,,,,,,,,1,3,2,3,1,4,1,3,1,2,1,2,2,2,2,3,3,2,,2,,16,,91329,
2019-11-20 19:26:19,2019-11-20 19:29:22,0,100,182,1,2019-11-20 19:29:22,R_215lo6NZyM4Jw8Z,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,3,2,,1,,16,,41178,
2019-11-20 19:29:10,2019-11-20 19:37:19,0,100,488,1,2019-11-20 19:37:19,R_RyQvhEdFI1FZGjn,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1,3,1,3,1,1,2,1,2,1,3,3,,2,,16,"Very well explained in the instructions, maybe add some pictures/photos to make it look a little more interesting.",16198,
2019-11-20 19:39:59,2019-11-20 19:43:37,0,100,217,1,2019-11-20 19:43:37,R_1jxM7GFEiD3fFOH,anonymous,EN,24,23,1,3,1,2,1,3,1,1,2,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,2,2,,1,,16,,27976,
2019-11-20 18:29:52,2019-11-20 19:43:58,0,100,4446,1,2019-11-20 19:43:59,R_Xj49wGlgrRGf2NP,anonymous,PT-BR,24,23,1,4,2,2,1,2,2,2,2,4,2,2,1,5,2,5,,,,,,,,,,,,,,,,,6,1,,1,,16,,51022,
2019-11-20 19:39:52,2019-11-20 19:46:16,0,100,383,1,2019-11-20 19:46:16,R_2ebCksknn8IehxL,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,1,1,1,2,2,2,1,1,4,3,2,,1,,16,,50148,
2019-11-20 19:39:17,2019-11-20 19:46:50,0,100,453,1,2019-11-20 19:46:51,R_s6AEb0CeNto3rsB,anonymous,EN,24,23,1,1,1,1,1,1,2,3,1,2,1,1,2,1,2,2,,,,,,,,,,,,,,,,,8,2,,1,,16,,28586,
2019-11-20 20:03:09,2019-11-20 20:05:53,0,100,164,1,2019-11-20 20:05:54,R_T5ETHl5dewI0K3L,anonymous,EN,24,23,1,1,1,4,1,1,1,2,1,1,1,3,2,2,2,1,,,,,,,,,,,,,,,,,3,2,,2,,16,,70403,
2019-11-20 20:56:10,2019-11-20 20:56:19,0,100,9,1,2019-11-20 20:56:20,R_1mEO8ekyMkvoetA,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 20:56:24,2019-11-20 20:59:07,0,100,163,1,2019-11-20 20:59:07,R_saKgRZBOP5DPlJL,anonymous,EN,24,23,,,,,,,,,,,,,,,,,2,5,2,4,1,3,1,2,1,3,1,3,2,2,2,3,5,3,,2,,16,,10613,
